id,name,template_id,parent_id,time_taken,time_taken_minutes,time_taken_hours
9745207b-9c95-4696-9bf1-d364a22cc10d,Primary - daily full scan,00000000-0000-0000-0000-000000000000,69a7a0b8-fdf4-4409-a97a-85c51098c8e6,,79.16666666666667,1.3194444444444444
0745c460-1966-45ab-9e17-6332d54155f5,Daily external scan,00000000-0000-0000-0000-000000000000,4c436500-11a2-49ba-b626-46723ab05e10,,18.2,0.30333333333333334
4ab1e7c6-4f12-423a-a8fa-55d16d119a7e,Primary - daily full scan,00000000-0000-0000-0000-000000000000,69a7a0b8-fdf4-4409-a97a-85c51098c8e6,,84.1,1.4016666666666666
00cc597e-ed9c-4cbd-9233-d2015d1c34e8,Daily external scan,00000000-0000-0000-0000-000000000000,4c436500-11a2-49ba-b626-46723ab05e10,,17.183333333333334,0.2863888888888889
81fbe13d-601f-4537-9faa-510923c362b3,Primary - daily full scan,00000000-0000-0000-0000-000000000000,69a7a0b8-fdf4-4409-a97a-85c51098c8e6,,76.41666666666667,1.273611111111111
fc3736f0-c56f-4af7-81a2-084f05c49a53,Daily external scan,00000000-0000-0000-0000-000000000000,4c436500-11a2-49ba-b626-46723ab05e10,,16.833333333333332,0.28055555555555556
e48c7d52-96ee-45a6-89cf-13f58fe6ad13,Primary - daily full scan,00000000-0000-0000-0000-000000000000,69a7a0b8-fdf4-4409-a97a-85c51098c8e6,,88.38333333333334,1.4730555555555556
d6c8175a-42da-4715-8bc0-3ed7d0c62fbf,,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,10.916666666666666,0.18194444444444444
b96d7ff2-b0eb-4dba-8f38-39de037da571,Daily external scan,00000000-0000-0000-0000-000000000000,4c436500-11a2-49ba-b626-46723ab05e10,,16.533333333333335,0.27555555555555555
c168ff3b-417b-437d-93ce-4cca284ff902,Primary - daily full scan,00000000-0000-0000-0000-000000000000,69a7a0b8-fdf4-4409-a97a-85c51098c8e6,,84.81666666666666,1.4136111111111112
c9fe64ce-9a8c-47bd-95dc-01158f3813f1,Daily external scan,00000000-0000-0000-0000-000000000000,4c436500-11a2-49ba-b626-46723ab05e10,,16.116666666666667,0.26861111111111113
